Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,149.679993,150.479996,148.800003,150,150,1993900
2/2/18,149.690002,150.550003,147.809998,147.949997,147.949997,2297900
2/5/18,146.630005,147.880005,139.570007,141.520004,141.520004,3358900
2/6/18,137.020004,141.210007,136.330002,140.850006,140.850006,3932100
2/7/18,140.080002,143.940002,139.960007,142.139999,142.139999,3034200
2/8/18,141.520004,141.979996,134.910004,135.009995,135.009995,3160300
2/9/18,135.910004,138.149994,132.759995,137.080002,137.080002,3655400
2/12/18,137.270004,139.169998,136.080002,138.139999,138.139999,2404600
2/13/18,137.639999,138.820007,136.720001,138.580002,138.580002,1282300
2/14/18,137.630005,140.880005,137.630005,140.600006,140.600006,1907100
2/15/18,141.949997,142.240005,139.910004,140.880005,140.880005,1406200
2/16/18,140.929993,141.880005,140.440002,141.160004,141.160004,1923900
2/20/18,140.479996,140.800003,138.389999,139.070007,139.070007,1533100
2/21/18,139.279999,140.919998,138.520004,138.539993,138.539993,1334500
2/22/18,138.679993,139.990005,137.350006,137.639999,137.639999,1744700
2/23/18,138.300003,139.850006,137.570007,139.740005,139.740005,2006300
2/26/18,140.210007,143.399994,140.210007,142.580002,142.580002,1809600
2/27/18,143.130005,143.410004,141.080002,141.539993,141.539993,1869500
2/28/18,141.970001,142.770004,138.889999,139,139,1462500
