Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,36.610001,37.400002,36.610001,36.830002,36.830002,28176400
2/2/18,36.599998,37.25,36.509998,36.610001,36.610001,24277900
2/5/18,36.48,36.700001,34,34.669998,34.669998,40288100
2/6/18,34.16,35.48,34,35.279999,35.279999,53164200
2/7/18,35.130001,35.650002,34.970001,34.98,34.98,29370000
2/8/18,35,35.169998,33.599998,33.630001,33.630001,43501700
2/9/18,34.189999,34.43,33.200001,34.16,34.16,47297700
2/12/18,34.450001,34.869999,34.029999,34.66,34.66,36758700
2/13/18,34.57,35.029999,34.41,34.939999,34.939999,20455000
2/14/18,34.700001,35.34,34.560001,35.189999,35.189999,23239800
2/15/18,35.369999,35.73,35.080002,35.709999,35.709999,21431100
2/16/18,35.759998,36.66,35.68,36.259998,36.259998,26242500
2/20/18,36.02,36.490002,35.880001,36.009998,36.009998,25808700
2/21/18,35.970001,36.59,35.73,35.759998,35.759998,24546800
2/22/18,35.869999,36.150002,35.610001,35.740002,35.740002,22754700
2/23/18,35.93,36.299999,35.830002,36.259998,36.259998,17020900
2/26/18,36.290001,37.209999,36.209999,37.09,37.09,24105600
2/27/18,37.07,37.240002,36.740002,36.799999,36.799999,22336900
2/28/18,37.029999,37.279999,36.310001,36.310001,36.310001,26907900
