Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,94.790001,96.07,93.580002,94.260002,93.81929,47227900
2/2/18,93.639999,93.970001,91.5,91.779999,91.350883,47867800
2/5/18,90.559998,93.239998,88,88,87.588554,51031500
2/6/18,86.889999,91.480003,85.25,91.330002,90.902985,67998600
2/7/18,90.489998,91.769997,89.199997,89.610001,89.191025,41107600
2/8/18,89.709999,89.879997,84.760002,85.010002,84.612534,55628700
2/9/18,86.300003,88.93,83.830002,88.18,87.767715,63499100
2/12/18,88.739998,89.779999,87.93,89.129997,88.713272,35720300
2/13/18,88.93,90,87.800003,89.830002,89.410004,26407700
2/14/18,88.510002,90.989998,88.410004,90.809998,90.809998,34960900
2/15/18,91.209999,92.720001,90.620003,92.660004,92.660004,27823900
2/16/18,92.449997,93.5,91.800003,92,92,30596900
2/20/18,91.480003,93.059998,91.010002,92.720001,92.720001,30911700
2/21/18,92.980003,93.360001,91.489998,91.489998,91.489998,26922500
2/22/18,92.050003,92.730003,91.360001,91.730003,91.730003,24392800
2/23/18,93.599998,94.07,92.360001,94.059998,94.059998,26329200
2/26/18,94.400002,95.449997,94.25,95.419998,95.419998,30199800
2/27/18,95.739998,95.839996,94.199997,94.199997,94.199997,25869100
2/28/18,94.839996,95.709999,93.629997,93.769997,93.769997,31167300
