Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,54.490002,54.75,54.009998,54.299999,54.299999,18646100
2/2/18,54.27,54.27,52.900002,52.98,52.98,15574000
2/5/18,52.52,53.189999,50.5,50.5,50.5,22239600
2/6/18,49.439999,51,49.07,50.830002,50.830002,34543900
2/7/18,50.630001,51.93,50.5,51.009998,51.009998,16066600
2/8/18,50.889999,51.080002,49,49.040001,49.040001,23308900
2/9/18,49.599998,50.299999,48.369999,49.880001,49.880001,27707900
2/12/18,50.220001,50.66,49.580002,50.110001,50.110001,16903000
2/13/18,49.91,50.259998,49.169998,50.080002,50.080002,11871700
2/14/18,49.759998,50.099998,49.32,49.509998,49.509998,17559200
2/15/18,49.549999,49.779999,48.950001,49.740002,49.740002,18902700
2/16/18,49.689999,50.459999,49.689999,50.150002,50.150002,12264000
2/20/18,49.84,49.889999,48.759998,48.919998,48.919998,21330400
2/21/18,48.799999,48.860001,47.939999,47.959999,47.959999,20889900
2/22/18,48.25,48.700001,47.779999,47.869999,47.869999,21198300
2/23/18,48.09,48.299999,47.540001,48.290001,48.290001,26371400
2/26/18,48.720001,49.150002,48.450001,49.09,49.09,20853900
2/27/18,49.02,49.169998,48.040001,48.040001,48.040001,23234700
2/28/18,48.759998,48.959999,47.720001,47.740002,47.740002,22159100
