Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,74.68,76,73.43,73.5,73.122879,13258400
2/2/18,73.059998,73.290001,70.639999,70.889999,70.526268,12794600
2/5/18,70.190002,71.870003,67.029999,67.839996,67.491913,19108800
2/6/18,66.629997,71.949997,66.190002,71.889999,71.521133,23151900
2/7/18,70.959999,72.139999,70.519997,70.599998,70.237755,11215100
2/8/18,70.669998,71.480003,68.120003,68.209999,67.860016,13079300
2/9/18,68.860001,70.220001,67.239998,69.480003,69.123505,13137500
2/12/18,70.199997,72.050003,70.169998,71.839996,71.47139,10242500
2/13/18,71.339996,71.75,70.599998,70.75,70.386986,6619100
2/14/18,69.989998,71.5,69.900002,71.330002,70.964012,7483400
2/15/18,72.059998,72.25,70.879997,71.849998,71.481339,6405900
2/16/18,71.660004,72.940002,71.510002,71.949997,71.580826,6939100
2/20/18,71.599998,72.339996,71.330002,71.620003,71.252525,6743000
2/21/18,71.5,72.650002,70.919998,70.959999,70.595909,7298800
2/22/18,71.330002,72.669998,71.199997,71.93,71.560928,6506500
2/23/18,72.459999,73.370003,71.699997,73.260002,72.884109,6021500
2/26/18,73.419998,74.120003,73.050003,74.059998,73.68,6647000
2/27/18,73.269997,73.82,72.360001,72.360001,72.360001,6727300
2/28/18,72.5,72.959999,70.25,70.300003,70.300003,8154000
