Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,170.270004,173.539993,168.889999,171.899994,170.819336,4751300
2/2/18,170.800003,172.729996,168.990005,169.380005,168.315186,4604500
2/5/18,168.610001,169.460007,153.860001,163.850006,162.819946,7309300
2/6/18,158.350006,166.050003,158.25,165.179993,164.141571,7020000
2/7/18,164.860001,168.259995,164.520004,165.710007,164.668259,4974000
2/8/18,165.690002,165.729996,158.759995,158.970001,157.970627,5656000
2/9/18,159.979996,161.979996,155.229996,160.800003,159.789124,7187100
2/12/18,162.369995,165.889999,161.5,163.899994,162.869629,5255900
2/13/18,163,163.830002,161.720001,162.399994,161.379059,5406000
2/14/18,161.440002,162.020004,159.679993,159.990005,158.984222,5865600
2/15/18,161.139999,161.520004,158.809998,160.779999,159.769241,5012100
2/16/18,159.470001,159.899994,157.759995,157.789993,156.798035,7165800
2/20/18,157,159.160004,156.279999,157.160004,156.172012,5211100
2/21/18,157.759995,161.320007,157.600006,158.639999,157.6427,7833400
2/22/18,158.949997,161.399994,158.899994,160.660004,159.650009,4398200
2/23/18,161.440002,163.309998,161.440002,163.059998,162.034912,4272400
2/26/18,164,164.75,162.300003,163.580002,162.551651,4525200
2/27/18,164.190002,164.5,160.639999,160.660004,159.650009,4907500
2/28/18,160.429993,161.210007,157.720001,157.740005,157.740005,6116800
