Company,Date,Open,High,Low,Close,Adj Close,Volume,PctChange
AXP,2/2/18,99.529999,99.690002,96.639999,96.68,96.68,4663300,-3.32
AXP,2/5/18,95.830002,96.720001,88.610001,92.010002,92.010002,6421900,-7.989998
AXP,2/6/18,89.75,94.220001,88.510002,94.18,94.18,7244000,-5.82
AXP,2/7/18,93.529999,94.849998,93.410004,93.610001,93.610001,3796800,-6.389999
AXP,2/8/18,93.75,93.970001,88.279999,88.339996,88.339996,5814900,-11.660004
AXP,2/9/18,89.470001,92.519997,87.540001,91.720001,91.720001,8017600,-8.279999
AXP,2/12/18,92.580002,95.68,92.419998,94.699997,94.699997,7419200,-5.300003
AXP,2/13/18,94.029999,94.809998,92.82,94.559998,94.559998,3366700,-5.440002
AXP,2/14/18,93.970001,96.559998,93.669998,96.230003,96.230003,3446800,-3.769997
AXP,2/15/18,97.059998,97.209999,95.440002,96.559998,96.559998,3057400,-3.440002
AXP,2/16/18,96.370003,97.489998,96.25,96.790001,96.790001,3280700,-3.209999
AXP,2/20/18,96.580002,97.709999,96.5,97.190002,97.190002,3514700,-2.809998
AXP,2/21/18,96.919998,98.489998,96.75,97.5,97.5,4431500,-2.5
AXP,2/22/18,97.589996,98.07,97.050003,97.349998,97.349998,4270100,-2.650002
AXP,2/23/18,97.779999,98.839996,97.550003,98.800003,98.800003,2440600,-1.199997
AXP,2/26/18,99.43,101.68,98.970001,101.639999,101.639999,4953100,1.639999
AXP,2/27/18,101.660004,102.120003,99.580002,99.580002,99.580002,5167300,-0.419998
AXP,2/28/18,100.040001,100.360001,97.43,97.510002,97.510002,4053700,-2.489998
CAT,2/1/18,161.240005,163.740005,160.179993,162.240005,162.240005,4323600,0
CAT,2/2/18,160.770004,160.800003,156.529999,157.490005,157.490005,7602800,-2.927761251
CAT,2/5/18,154.929993,158.929993,142.850006,151.080002,151.080002,11390500,-6.878699862
CAT,2/6/18,148.070007,156.559998,146.809998,156.410004,156.410004,13908700,-3.59344232
CAT,2/7/18,155.360001,158.089996,154.279999,154.339996,154.339996,7156500,-4.869334786
CAT,2/8/18,153.850006,154.190002,145.919998,145.990005,145.990005,9101900,-10.01602533
CAT,2/9/18,148.710007,150.889999,142.880005,149.210007,149.210007,9528100,-8.031310157
CAT,2/12/18,151.869995,153.449997,150.25,152.289993,152.289993,5756800,-6.132896754
CAT,2/13/18,151.25,155.199997,151,153.970001,153.970001,5512100,-5.097388896
CAT,2/14/18,152.389999,158.589996,152.339996,158.059998,158.059998,5560100,-2.576434215
CAT,2/15/18,159.800003,160.339996,157.479996,159.979996,159.979996,4914500,-1.393003532
CAT,2/16/18,160.130005,161,156.089996,156.289993,156.289993,5991600,-3.667413595
CAT,2/20/18,155.169998,158.25,154.270004,155.559998,155.559998,5094600,-4.11736119
CAT,2/21/18,155.699997,158.399994,155.039993,155.229996,155.229996,4179400,-4.320764783
CAT,2/22/18,156.410004,159.779999,156.199997,158.860001,158.860001,4723300,-2.083335735
CAT,2/23/18,159.399994,162.479996,159.220001,162.410004,162.410004,4450800,0.104782418
CAT,2/26/18,163.050003,164.050003,161.550003,163.690002,163.690002,6254400,0.893735796
CAT,2/27/18,163.259995,164.600006,161.240005,161.259995,161.259995,4127700,-0.604049538
CAT,2/28/18,161.5,162.339996,154.169998,154.630005,154.630005,7298600,-4.690581709
CSCO,2/1/18,41.09,42.110001,40.669998,41.700001,41.700001,26148500,0
CSCO,2/2/18,41.5,41.950001,40.869999,40.93,40.93,27224200,-1.846525136
CSCO,2/5/18,40.869999,41.41,38.720001,38.779999,38.779999,52399600,-7.00240271
CSCO,2/6/18,38.330002,40.310001,37.349998,40.169998,40.169998,55171600,-3.669071854
