Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,98.949997,100.040001,98.400002,100,100,2952100
2/2/18,99.529999,99.690002,96.639999,96.68,96.68,4663300
2/5/18,95.830002,96.720001,88.610001,92.010002,92.010002,6421900
2/6/18,89.75,94.220001,88.510002,94.18,94.18,7244000
2/7/18,93.529999,94.849998,93.410004,93.610001,93.610001,3796800
2/8/18,93.75,93.970001,88.279999,88.339996,88.339996,5814900
2/9/18,89.470001,92.519997,87.540001,91.720001,91.720001,8017600
2/12/18,92.580002,95.68,92.419998,94.699997,94.699997,7419200
2/13/18,94.029999,94.809998,92.82,94.559998,94.559998,3366700
2/14/18,93.970001,96.559998,93.669998,96.230003,96.230003,3446800
2/15/18,97.059998,97.209999,95.440002,96.559998,96.559998,3057400
2/16/18,96.370003,97.489998,96.25,96.790001,96.790001,3280700
2/20/18,96.580002,97.709999,96.5,97.190002,97.190002,3514700
2/21/18,96.919998,98.489998,96.75,97.5,97.5,4431500
2/22/18,97.589996,98.07,97.050003,97.349998,97.349998,4270100
2/23/18,97.779999,98.839996,97.550003,98.800003,98.800003,2440600
2/26/18,99.43,101.68,98.970001,101.639999,101.639999,4953100
2/27/18,101.660004,102.120003,99.580002,99.580002,99.580002,5167300
2/28/18,100.040001,100.360001,97.43,97.510002,97.510002,4053700
